name,address,city,state,postal_code,phone,email,website,description,latitude,longitude
Asilo nido comunale Rosa Louise Parks - la madre dei diritti civili (comunale),"Via Allende, 1",Villamassargia,Sud Sardegna (SU),09010,3284204039,nidocomunalerosaparks@gmail.com,,,39.2723834,8.6432887
Asilo Nido di Locate di Triulzi - La Fabbrica delle Coccole (privata),Via Orlando Cattaneo 5,Locate di Triulzi,MI,,3275391125,lafabbricadellecoccolenido@gmail.com,,,45.401884183688175,9.235031221014369
Asilo nido I tre pastorelli di Fatima,Strada provinciale 79,Ordona,Foggia,71040,885330265,asilounsorrisopertutti@gmail.com,https://www.coperativaunsorrisopertutti.org,,41.3173065,15.6292731
Asilo nido l'Arcobalocco (Privato),Via Acquaregna 90,Tivoli,RM,00019,07741731816,larcobalocco@libero.it,,,41.9571721,12.8036424
"Asilo Nido Montessori ""S. Lucia"" (Privata)",Via dei Tigli 7,Rieti,Rieti,02100,0746201220,montessori.s.lucia@gmail.com,,,42.402463,12.8556432
"Casa dei bambini ""M. Virgillito"" - Suore Domenicane Beata Imelda (Paritaria)",Piazza Ferravilla 2,Milano,Milano,20129,0270124912,bambini.virgillito@casadeibambinivirgillito.com,https://www.casadeibambinivirgillito.com,,45.4707733,9.2227511
"Casa dei bambini ""Antonio e Maria Bianchi"" (Comunale)",Via Stazione 86,Calcinato Frazione di Ponte San Marco,Brescia,25010,0309636534,infanziabianchi@comune.calcinato.bs.it,,,45.4731516,10.4111882
"Casa dei bambini ""Campedello"" (Statale)",Via Gian Maria Bertolo 92,Vicenza,Vicenza,36100,0444533730,VIIC871005@istruzione.it,https://www.istitutocomprensivo1vicenza.it,"Dipende da Istituto Comprensivo Vicenza 1<br>Contrà Burci, 20 - 36100 Vicenza ",45.5270285,11.560483
"Casa dei bambini ""D. Cariolato"" (Statale)",Strada Bertesina 353,Vicenza,Vicenza,36100,0444504424,VIIC872001@istruzione.it,https://www.ic2bortoan.it,"Dipende da: Istituto Comprensivo n.2 &quot;Bortolan&quot; -  Via C. Piovene, 31 - 36100 Vicenza",45.5454787,11.5354214
"Casa dei Bambini ""E. Pestalozzi"" (Statale)",Via Simpatica,Perugia,Perugia,06128,0755055983,PGIC85900A@istruzione.it,https://www.istitutocomprensivoperugia11.it,"Dipende da: Istituto Comprensivo Perugia 11<br>Via Cotani - 06128 Perugia",43.1026207,12.3729039
"Casa dei bambini ""Evelina Cundari"" - dipende da I.C. Via Roma - Spirito Santo (Statale)",Via Spirito Santo 1,Cosenza,Cosenza,87100,098426572,csic81200c@istruzione.it,https://www.icspiritosanto.gov.it,,39.2865517,16.2618276
"Casa dei bambini ""Giacomo Costa"" - VI Circolo Didattico ""Medaglie d'Oro"" (Statale)",Via Giacomo Costa 4,Salerno,SA,84126,089792660,saic8b500q@istruzione.it,https://www.icmedagliedoro.edu.it/,,40.686226,14.7734901
"Casa dei bambini ""I Rondinotti"" - 28° Circolo Comunale (Comunale)",Via L. Rizzo 2,Napoli,Napoli,80125,0817623003,infanzia.rondinotti.@comune.napoli.it,,,40.8166164,14.1882335
"Casa dei bambini ""Il Sassolino"" (Paritaria)",Via A. Bagozzi 14/F,Gavardo,Brescia,25085,0365374726,,,,45.5940377,10.480127
"Casa dei bambini ""Isabella"" (Paritaria)",Via Don Giovan Maria Pennacchio 7,Gorzone di Darfo Boario Terme,Brescia,25047,0364/531180,scuolamaternaisabella@gmail.com,,,45.8896319,10.166502
"Casa dei bambini ""Maria Montessori"" (Comunale - Paritaria)",Piazzale Michelangelo,Mantova,Mantova,46100,0376323648,materna.montessori@comune.mantova.gov.it,,,45.1539068,10.775374
"Casa dei bambini ""Maria Montessori"" (Comunale)", Via Parma 5,Bolzano,Bolzano,39100,0471910293,casadeibambini@comune.bolzano.it,,,46.4982953,11.3547582
"Casa dei bambini ""Montessori"" (Statale)",Via Nolana,Pompei,Napoli,80045,0818506209,naee220002@istruzione.it,https://www.pompeisecondocircolo.edu.it,,40.7579091,14.4965643
"Casa dei bambini ""Montessori"" (Statale)",Via Capitano Verri,Trapani,Trapani,91100,092329201,TPEE00400P@istruzione.it,https://www.guglielmomarconi.gov.it,"Dipende da IV Circolo Didattico &quot;G. Marconi&quot;<br>Via 11 settembre 2001 91100 Trapani",38.0188402,12.535834
"Casa dei bambini ""Montessori"" - I.C. ""Regina Elena"" (Statale)",Via Puglie 6,Roma,Roma,00187,0642819809,RMIC819001@istruzione.it,https://www.icreginaelena.it,,41.9100936,12.4951397
"Casa dei bambini ""Orti di Spagna"" (Comunale)",Via Lega Veronese 8/a,Verona,Verona,37123,045596650,infanzia.ortidispagna@comune.verona.it,https://www.comune.verona.it,,45.4450357,10.9756869
"Casa dei bambini ""P. F. Calvi"" (Comunale - Paritaria)",Strada Formigosa 72,Mantova,Mantova,46100,0376302191,materna.calvi@comune.mantova.gov.it,,,45.1218102,10.8620755
"Casa dei bambini ""Parrocchia Sacra Famiglia"" (Paritaria)",Via Recchi 6,Ferrara,Ferrara,44123,0532767412,casadeibambinife@virgilio.it,,,44.8270804,11.6094514
"Casa dei bambini ""Plesso Murelle"" (Statale)",Via Murelle 4,Mugnano di Napoli,Napoli,80018,0815710410,naee15100r@istruzione.it,https://www.cdsequino.edu.it/,dipende dal 1° Circolo Didattico “G. Sequino”,40.9096006,14.2034899
"Casa dei bambini ""Plesso S. Giovanni"" (Statale)",Via C. Colombo 5,Mugnano di Napoli,Napoli,80018,0815710410,naee15100r@istruzione.it,https://www.cdsequino.gov.it,dipende dal 1° Circolo Didattico “G. Sequino”,40.9130393,14.209711
"Casa dei bambini ""S. Maria dei Miracoli"" (Paritaria)",Via Cannaregio,Venezia,Venezia,6073,0415223252,casadeibambini.ve@libero.it,https://www.casadeibambini.ve.it,,45.4408474,12.3155151
"Casa dei bambini ""San Giusto"" (Paritaria)",Via Monte S. Gabriele 34,Trieste,Trieste,34127,040573060,amministrazione@montessori.trieste.it,,,45.6587044,13.7865663
"Casa dei bambini ""The International School of Naples"" (Privata)",Viale della Liberazione 1,Napoli,Napoli,80125,0817628429,info@isnaples.it,https://www.isnaples.it,,40.8209077,14.1613904
Casa dei Bambini (Privata) Progetto di Fattoria Sociale,Fraz. Letey 5,Gressan,Aosta,11020,,ideainmovimento@gmail.it,https://www.montessorinvalle.it,,45.7214451,7.289893899999999
"Casa dei bambini (STATALE) ""A. Manzoni""",Via Dell&#039;Acacia,Perugia,Perugia,06129,0755052534,PGEE00300C@istruzione.it,https://www.terzocircoloperugia.it,Dipende da: Direzione Didattica Statale - 3° Circolo - Via Palestrina - 06124 Perugia,43.0766125,12.3635701
"Casa dei bambini (STATALE) ""M. A. Paolini""",Via Vittorio Alfieri,Perugia,Perugia,06126,07533752,PGEE00300C@istruzione.it,https://www.terzocircoloperugia.it,Dipende da: Direzione Didattica Statale - 3° Circolo - Via Palestrina - 06124 Perugia,43.08241049999999,12.3979431
"Casa dei bambini (STATALE) ""M. Montessori""","Via Fonti Coperte, 38/N",Perugia,Perugia,06124,07533739,PGEE00300C@istruzione.it,https://www.terzocircoloperugia.it,Dipende da: Direzione Didattica Statale - 3° Circolo - Via Palestrina - 06124 Perugia,43.1074675,12.3764587
"Casa dei bambini (STATALE) ""Villaggio Kennedy""",Via Cotani 1,Perugia,Perugia,06128,0755054604,PGEE00200L@istruzione.it,https://www.secondocircolopg.gov.it,"Dipende da:  Direzione Didattica II Circolo - Via Magno Magnini, 11 - 06127 Perugia",43.0978117,12.3664341
Casa dei bambini (STATALE) - II circolo didattico Garibaldi,Via Ofanto 21,Altamura,Bari,20022,080342066,baee04500b@istruzione.it,https://www.garibaldialtamura.edu.it,,40.8319671,16.5588214
Casa dei Bambini (Statale) e Primaria Rodari (Statale),V. F.lli Cervi ,Segrate/MI2,,20090,0226411001,MIIC8BK00L@istruzione.it,https://www.icsabin.edu.it,Dipende da: Istituto Comprensivo “A.B. Sabin” V. F.lli Cervi -20090 Segrate/MI2 (MI),45.491059,9.261759999999999
Casa dei bambini (STATALE) plesso di Scuola dell'infanzia di Valtesino di di Ripatransone,Borgo la Vigna,Ripatransone,Ascoli Piceno,63065,07359234,APIC804003@istruzione.it,https://iscripatransone.it/,"Dipende da: I.S.C. &quot;Ripatransone&quot;<br>Via da Sole, 1 – 63065 Ripatransone (AP)",42.9773292,13.7800369
Casa dei bambini (Statale) Primaria (Statale) Montessori - Istituto Comprensivo Bruno da Osimo,Via Santa Lucia 10,Osimo,Ancona,60027,0717131569,ANIC843003@istruzione.it,https://www.brunodaosimo.org,,43.486236,13.48661
Casa dei bambini (Statale) Primaria (Statale) Montessori A. Scocchera,Via XXV Aprile,Castelfidardo,Ancona,60022,0717366027,ANIC83100R@istruzione.it,https://icsoprani.gov.it/,Dipende da: I.C. &quot;Soprani&quot;,43.4660241,13.5566459
Casa dei bambini (Statale) Primaria (Statale) Montessori plesso Tofare,Via Sassari,Ascoli Piceno,Ascoli Piceno,63100,073641764,APIC82900B@istruzione.it,https://www.isclucianiap.gov.it/,"Dipende da: I.S.C. &quot;Luciani SS. Filippo e Giacomo&quot;<br>Via 3 Ottobre 8/C – 63100 Ascoli Piceno (AP)",42.8477155,13.5984354
Casa dei bambini (Statale) Primaria (Statale) plesso Scapezzano Montessori,Via A. Da Brescia,Senigallia,Ancona,60019,071660400,ANIC848006@istruzione.it,https://www.senigallianord.it,Dipende da Istituto Comprensivo Senigallia Nord Mercantini,43.7202411,13.1674581
Casa dei bambini (Statale) Scuola dell'infanzia plesso Peter Pan, Via Toscana,Porto Sant&#039;Elpidio,Fermo,63821,0734992287,APIC83600E@istruzione.it,https://www.isc1pse.gov.it,"Dipende da: Istituto Comprensivo Statale &quot;Rita Levi Montalcini&quot;<br>Via Fontanella, 2 - 63821 Porto Sant&#039;Elpidio (FM)",43.267085,13.7508058
Casa dei bambini (STATALE) Scuola Primaria (Statale) Montessori plesso Alfortville - Via Alfortville - 63074,Via Alfortville,San Benedetto del Tronto,Ascoli Piceno,63074,0735650237,APIC83400V@istruzione.it,https://www.iscsud.gov.it,"Dipende da: I.S.C. Sud San Benedetto del Tronto<br>P.zza Setti Carraro, 5 – 63074 San Benedetto del Tronto (AP)",42.910438,13.8898907
Casa dei Bambini (Statale) Scuola Primaria (Statale) Montessori Sandro Pertini,Via C.A. Vecchi,Pagliare del Tronto-Spinetoli,Ascoli Piceno,63078,0717366027,APIC80600P@istruzione.it,https://iscspinetoli.it/,"Dipende da: I.S.C. &quot;Spinetoli-Pagliare&quot;<br>Via Giovanni XXIII, 13 – 63078 Pagliare del Tronto-Spinetoli (AP)",42.86772939999999,13.7698839
Casa dei bambini (Statale) “G. Santucci”,Via Pian della Genna 16,Perugia,Perugia,06128,0755010290,PGEE00200L@istruzione.it,https://www.secondocircolopg.gov.it,"Dipende da:  Direzione Didattica II Circolo - Via Magno Magnini, 11 - 06127 Perugia",43.10156569999999,12.3652258
"Casa dei bambini (Statale)Via Leonardo da Vinci, 10 – 20099",Via Leonardo da Vinci 10,Sesto San Giovanni,Milano,20099,023658331,MIIC8EU00Q@istruzione.it,https://www.icbredasesto.gov.it,"Dipende da: Istituto Comprensivo E. Breda<br>Via Podgora, 161 – 20099 Sesto San Giovanni (MI)",45.5416383,9.2337689
"Casa dei bambini - Direzione Didattica 1° Circolo ""Leonardo da Vinci"" (Statale)",Via San Pietro 54,Trapani,Trapani,91100,092326980,TPEE001007@istruzione.it,https://www.cdleonardodavinci.gov.it  ,,38.0173505,12.5365171
"Casa dei bambini - I.C. ""G. G. Ciaccio Montalto"" (Statale)",Via Tunisi 37,Trapani,Trapani,91100,092320398,TPIC836004@istruzione.it,https://www.icciacciomontalto.it,,38.0254467,12.5257247
"Casa dei bambini - I.C. ""Italo Calvino"" (Statale)",Via Bologna 57,Villaricca,Napoli,80010,0818181685,naic885001@istruzione.it,https://www.calvinovillaricca.edu.it/,,40.9110386,14.129085
"Casa dei bambini - I.C. ""Polo 2"" (Statale)",Via Capuana,Casarano,Lecce,73042,0833502884,leic860006@istruzione.it,https://www.casaranopolo2.gov.it ,"Dipende da: Istituto Comprensivo Polo 2 - Distretto 46, Via Messina 2,  73042 Casarano (LE)",40.0113573,18.1614311
"Casa dei bambini - I.C. ""Rita Levi Montalcini"" - plesso Casa dei bambini (Statale)",Via Casalis,Torino,Torino,10138,,TOIC88300Q@istruzione.it,,,45.074369,7.658093
"Casa dei bambini - I.C. ""U. Betti"" (Statale)",Via A. Mario ,Fermo,Fermo,63900,0734224726,,https://www.iscbettifermo.gov.it,,43.1554427,13.7306502
Casa dei bambini - I.C. Borgosatollo (Statale),Via Roma 42,Borgosatollo,Brescia,25010,0302501557,bsic84600p@istruzione.it,https://istitutocomprensivoborgosatollo.gov.it,,45.4764941,10.2380721
Casa dei Bambini - I.C. Tullio De Mauro (Statale),Viale Santi 65,Roma,Roma,00155,0645437721,RMIC8B5008@istruzione.it,https://www.rmicviasanti65.gov.it,,41.91333780000001,12.5668705
Casa dei bambini - I.C. Via P. A. Micheli (Statale),Via P. A. Micheli 21,Roma,Roma,00197,063221302,RMIC8D8001@istruzione.it,https://www.istitutocomprensivoviamicheli.edu.it/,,41.9225117,12.4824739
Casa dei bambini - I.C. “G. Catalano – G. Moscati” (Statale),Via M. Altamura,Foggia,Foggia,71122,0881746552,FGIC86200B@istruzione.it,htpps://www.iccatalanomoscati.it,,41.4655543,15.5297641
"Casa dei bambini - plesso ""C. Ferrini"" (Statale)",Via di Villa Chigi 22,Roma,Roma,00199,068600694,RMIC8EB00L@istruzione.it,https://www.scuolasinopoli.it,Dipende da: Ist. Comprensivo &quot;Via Mascagni&quot;,41.93207590000001,12.5139169
"Casa dei bambini - plesso ""Chiovini"" (Statale)",Via Zinardini 6,Roma,Roma,00139,0687131853,RMIC8EG00Q@istruzione.it,https://www.filattiera84.gov.it,Dipende da: Istituto Comprensivo &quot;Piazza Filattiera 84&quot;,41.9623802,12.5227769
"Casa dei bambini - plesso ""Francesco Crispi"" (Statale)",Via Anton Giulio Barrili 13,Roma,Roma,00152,065810022,RMIC8FT003@istruzione.it,https://www.iclargooriani.it,Dipende da: Istituto Comprensivo &quot;Largo Oriani&quot;,41.8770083,12.4602704
"Casa dei bambini - plesso ""Gianni Rodari"" (Statale)",Via Emilia,Matera,Matera,75100,0835333201,mtic82500p@istruzione.it,https://www.ictorracamatera.it,,40.6743506,16.6011858
"Casa dei bambini - plesso ""Lorenzo Cuneo"" (Statale)",Via Cerveteri 55,Roma,Roma,00183,0677209575,RMIC8GE009@istruzione.it,https://www.istitutocomprensivoceneda.it,Dipende da: Istituto Comprensivo &quot;Ceneda&quot;,41.8795238,12.5082935
"Casa dei bambini - plesso ""Via dei Marsi"" (Statale)",Via dei Marsi 58,Roma,Roma,00185,06 4453968 sez. A 39 0695061252 sez B,viadeimarsi58@libero.it,https://www.viicircolomontessori.it/,Dipende da: IC Montessori - Maria Clotilde Pini,41.8957644,12.5147521
Casa dei bambini - plesso di Via A. Guglielmi (Statale),Via A. Guglielmi,Foggia,Foggia,71100,0881631353,FGEE00800R@istruzione.it,https://www.scuolasanpiox.it,Dipende da: Direzione Didattica Statale 8° Circolo &quot;S. Pio X&quot; Via V. Mastelloni - 71100 Foggia,41.4532336,15.529825
Casa dei bambini - plesso Via dei Mille (Statale),Via dei Mille 44,Civitanova Marche,Macerata, 62012,0733772163,MCIC83600N@istruzione.it,https://www.iscviaugobassi.gov.it,Dipende da: Istituto Comprensivo “Via Ugo Bassi”,43.2987197,13.7221594
Casa dei bambini A. Caregaro Negrin dipende da IC Zanella (statale),Via Aldo Moro 53,Sandrigo,Vicenza,36066,0444659089,scuola.negrin@iczanella.net,https://iczanellasandrigo.edu.it/,,45.6592011,11.6029356
"Casa dei bambini bilingue ""Montessori International School"" (Privata)",Via del Molino 93,Campoformido,Udine,33030,3312818210,michela.crismani@ghirigoro.it,https://www.asilonidoudine.it/scuola-materna.html,,46.025309,13.2090896
"Casa dei bambini bilingue con sezione primavera ""La Casa di Titto"" (Privata)",Via Verdi 25,Cinisello Balsamo,Milano,,3396652955,lacasadititto@yahoo.com,https://www.lacasadititto.com,,45.5510882,9.223973899999999
"Casa dei bambini e Nido ""Anghingò"" (Privata e comunale)",Via Appia Nuova 889,Roma,Roma,00178,067182415,asiloanghingo@gmail.com,,,41.8435292,12.5523533
"Casa dei bambini e Primaria ""Angelo Mauri"" (Statale)",Via Angelo Mauri 5,Roma,Roma,00139,068104305,RMIC8B400C@istruzione.it,http://ospitiweb.indire.it/icbrunomunari/index.htm,Dipende da: Istituto Comprensivo &quot;Bruno Munari&quot;,41.9505609,12.520168
"Casa dei bambini e Primaria ""Assisi International School"" (Statale)",Via Cristoforo Cecci 2C,Assisi,Perugia,06081,0759471123,ais@fondazionepatriziopaoletti.org,https://www.assisinternationalschool.org/,,43.0707017,12.6195966
"Casa dei bambini e Primaria ""Elena Guerra"" (Paritaria)",Via Silvestro II 22,Roma,Roma,00167,3345963952,simonaq2004@yahoo.it,,,41.9060132,12.4228916
"Casa dei bambini e Primaria ""Montessori"" (Statale)",Via S. Martino 41,Sanremo,Imperia,18038,0184591379,IMIC81700E@istruzione.it,https://www.comprensivolevante.com,Dipende da: I.C. Sanremo Levante,43.8226587,7.7939778
"Casa dei bambini e Primaria ""Scuola Montessori"" (Paritaria)",Piazza San Gerolamo 6,MIlano, Milano,20133,022822754,segreteria@scuolamontessorimilano.it,https://www.scuolamontessorimilano.it,,45.46929009999999,9.2366274
Casa dei bambini e Primaria (Statale),Via Piermarini ,Foligno,Perugia,06034,0742350418 ,pgic86000e@istruzione.it,https://www.icfoligno2.it,"Dipende da: Istituto Comprensivo Statale &quot;G. Carducci&quot;<br>Via Dei Molini, 1 - 06034 Foligno (PG)",42.9547094,12.7065593
Casa dei bambini e Primaria (Statale),Via XX Settembre 57,Terni,Terni,05100,0744273932,TREE00400X@istruzione.it,htpts://www.dd.sangiovanni.it,"Dipende da: Direzione Didattica “San Giovanni”<br>Via Liutprando, 32 – 05100 Terni",42.5636168,12.6426604
"Casa dei bambini e Primaria (Statale) I.S.C. ""Nord""", Via Gino Moretti 79,San Benedetto del Tronto,Ascoli Piceno,63074,0735592458,apic83300@istruzione.it,https://www.iscnord.gov.it  ,,42.9492736,13.8822558
Casa dei bambini e Primaria - Fondazione Scuola Montessori di Bergamo (Paritaria),Via Giangiuseppe Brembilla 6,Bergamo,Bergamo,24129,035242486,info@scuolamontessoribg.it,http://www.scuolamontessoribg.it,,45.6905513,9.6315236
"Casa dei bambini e Primaria - I. C. ""Leonardo Sinisgalli"" (Statale)",Via Anzio snc,Potenza,Potenza,85100,0971411793,pzic87900x@istruzione.it,https://www.icsinisgallipz.gov.it   ,,40.6414923,15.7925358
"Casa dei bambini e Primaria - I.C. ""Viale Adriatico"" (Statale)",Viale Adriatico 140,Roma,Roma,00141,0687188349,RMIC813002@istruzione.it,https://www.ic-vialeadriatico.edu.it,,41.9421071,12.5370614
"Casa dei bambini e Primaria - IC ""Giovan Battista Valente"" (Statale)",Viale G.B.Valente 100,Roma,Roma,00177,062596165,RMIC82300L@istruzione.it,,,41.8975883,12.5680814
Casa dei bambini e primaria - IC Rende Commenda (statale),Via Caduti di Nassirya,Rende,Cosenza,87036,0984463930,csic8ak00c@istruzione.it,https://www.icrendecommenda.it,,39.3288901,16.24032
"Casa dei bambini e Primaria - plesso Montessori - IX Circolo ""Manzoni"" (Statale)",Via Nannarone 21,Foggia,Foggia,71100,0881776672,FGEE00900L@istruzione.it,httsps://www.scuolamanzoni.it,,41.4532336,15.529825
Casa dei bambini e Primaria - plesso Via Monte Ruggero (Statale),Via Monte Ruggero 39,Roma,Roma,00139,068180420,RMIC813002@istruzione.it,https://www.icvialeadriatico.gov.it,Dipende da: Istituto Comprensivo &quot;Viale Adriatico&quot;,41.9470753,12.5310268
"Casa dei bambini e Primaria - plesso “Flaminia Guidi"" (Statale)",Via Lemonia 242,Roma,Roma,00174,0671582362,RMIC8GG001@istruzione.it,https://icparcodegliacquedotti.edu.it/,Dipende da: I.C. “Parco degli Acquedotti&quot;,41.8493243,12.5613123
Casa dei bambini e Primaria di Via Sturzo (Statale),Via Don Sturzo,Cornaredo,Milano,20010,0293263511,MIIC8FK00P@istruzione.it,https://ww.icsviadavinci.gov.it,"Dipende da: Istituto Comprensivo Statale<br>Via L. Da Vinci, 34 - Cornaredo (MI)",45.4923008,9.034109
Casa dei Bambini e Primaria Direzione Didattica Statale 4° Circolo (Statale),Via Cantobelli,Lecce,Lecce,73100,0832342937,LEEE00400X@istruzione.it,https://www.4circololecce.gov.it,,40.3515155,18.1750161
Casa dei bambini e Primaria I.C. di San Donato - plesso “Fabrizio De Andrè” (Pubblica) Via Artiglieria 1,Via Artiglieria 1,Sassari,Sassari,07100,0792012057,ssic85200n@istruzione.it,https://www.icsandonato.gov.it,,40.7259269,8.5556826
Casa dei bambini e Primaria Montessori (Paritaria),Via Bartolini 46,Milano,Milano,20155,0233000723,info@scuolamontessori.com,https://www.scuolamontessori.com,,45.4920959,9.152779899999999
Casa dei bambini e Primaria Montessori (Paritaria),Via Arosio 3,Milano,Milano,20148,024045694,info@montessori-milano.it,https://www.montessori-milano.it,,45.47323919999999,9.1252579
"Casa dei Bambini e Primaria Montessori - I.C. ""San Nilo"" (Statale) - Plesso R. di Feo",Via G. Quattrucci,Grottaferrata (RM),Roma,00046,069454091,info@icsannilo.gov.it,https://www.icsannilo.gov.it,,41.7821344,12.6877276
Casa dei bambini e Primaria Montessori - Scuola Montessori Bilingue di Milano,Via Palmieri 72 ,Milano,Milano,20141,0249530147,segreteria@montessoribilingue.it,https://www.montessoribilingue.it,,45.434756,9.184931599999999
"Casa dei bambini e Primaria Montessori “E. Fermi” (Statale) – Istituto comprensivo “E.Fermi” Via Pace, 2",Via Pace 2,Macerata,Macerata,62100, 0733236611,MCIC82700V@istruzione.it,https://www.fermimc.edu.it,"Dipende da: Istituto Comprensivo “Enrico Fermi” Via Pace, 2 – 62100  Macerata",43.3022524,13.4597118
"Casa dei bambini e Primaria plesso ""Borgo Rosselli"" (Statale)",Via Petrarca 129,Porto San Giorgio,Fermo,63822,0734679008 ,APIC82300C@istruzione.it,https://www.iscnardi.gov.it/,"Dipende da: I.S.C. &quot;Nardi&quot; Viale dei Pini, 49 – 63822 Porto San Giorgio (FM)",43.1677449,13.8012952
"Casa dei bambini e Primaria plesso ""Villa Paganini"" (Statale)",L.go di Villa Paganini 18,Roma,Roma,00198,06 8416793,plessovillapaganini@gmail.com,https://www.viicircolomontessori.it/,Dipende da: IC Montessori - Maria Clotilde Pini,41.9160629,12.5083304
Casa dei bambini e Primaria Scuola Montessori Milano srl (Parificata),Via Milazzo 7/9 ,Milano,Milano,20121,0229001762,amministrazione@milanomontessori.it,,,45.4790324,9.1868698
Casa dei bambini e Primaria “Montessori” c/o Complesso Monumentale di S. Pietro (Statale),Piazza S.Pietro,Gubbio,Perugia,06024,0759274600,PGEE03700G@istruzione.it,https://www.secondocircologubbio.it,"Dipende da: II Circolo Didattico “Aldo Moro”<br>Via Magellano, 06024 GUBBIO (Pg)",43.3513193,12.5753166
Casa dei bambini Fondazione Scuola Materna e Asilo nido Rovato Centro (Paritaria),Via IV Novembre 5,Rovato,Brescia,25038,0307721107,rovatocentro@email.it,,,45.5673817,10.003558
"Casa dei bambini Fratte Rosa, dipende da I.C. ""Binotti"" (Statale)",Via Borgo Torre 67,Torre San Marco di Fratte Rosa,Pesaro Urbino,61040, 0721777373,PSIC83400E@istruzione.it,https://www.icbinottipergola.it,,43.6464128,12.9077768
Casa dei bambini GiosaMente APS (Privata),"Strada Statale per Reggio, 40",Correggio,Reggio Emilia,42015,3755747052,info.gioiosamente@gmail.com,https://www.montessoricorreggio.it/,,44.751122,10.7433219
Casa dei bambini IC Pasquale Tola (Statale),"Via Washington, 1",Sassari,,07100,0792845254,ssic855005@istruzione.it,https://www.icpasqualetolass.it,,40.7109287,8.5534932
Casa dei bambini Istituto Canonico Latorre Scuola dell'infanzia Cuore di Gesù (Statale),Via Nazionale dei Trulli 109,Fasano,BR,72015,3201728674,bree02200r@istruzione.it,https://www.collodifasano.edu.it,Dipende da 1° Circolo didattico &quot;C. Collodi&quot; ,40.8329292,17.355964
Casa dei Bambini Le Coccinelle,Via Timavo 11,Verona,VR,37129,0458007177,vric88900p@istruzione.it,https://www.ic18vr.edu.it,Dipendenti da Istituto Comprensivo 18 Veronetta - Porto di Verona ,45.43745089999999,11.0033514
Casa dei bambini Maria Montessori (Statale),Via dei Bersaglieri 68,Urgnano,Bergamo,24059,035/891154,bgic8aa007@istruzione.it,https://icurgnano.edu.it/,Dipende da: IC &quot;B. Colleoni&quot; -  Via dei Bersaglieri 68 – 24059 Urgnano (BG),45.6010148,9.687646500000001
Casa dei Bambini Montessori (Statale),Via Tommasi 40,Ancona,Ancona,60123,07131794,ANIC81100G@istruzione.it,https://www.augustoscocchera.it,Dipende da: Istituto Comprensivo &quot;Augusto Scocchera&quot;,43.6161954,13.5277857
Casa dei bambini Montessori (Statale),Via S. Andrea,Chiaravalle,Ancona,60033,071949142,anic85200T@istruzione.it,https://www.icmontessoriano.it,Dipende da Istituto Comprensivo &quot;Maria Montessori&quot;,43.6067566,13.3086508
"Casa dei bambini Montessori - I.C. ""Falcone e Borsellino"" (Statale)",Via Reggio Calabria 34,Roma,Roma,00162,06442336136,RMIC804007@istruzione.it,https://www.falconeborsellino.it,Dipende da: Istituto Comprensivo &quot;Falcone e Borsellino&quot;,41.91225499999999,12.5193613
